city,hour,temp_c,wind_kph,cloud
Yuzhno-Sakhalinsk,2024-01-28 04:00,0.7,13.0,11
Yuzhno-Sakhalinsk,2024-01-28 08:00,0.7,11.9,4
Yuzhno-Sakhalinsk,2024-01-28 12:00,9.5,8.3,7
Yuzhno-Sakhalinsk,2024-01-28 16:00,9.6,6.1,0
Yuzhno-Sakhalinsk,2024-01-28 20:00,1.1,14.0,0
Yuzhno-Sakhalinsk,2024-01-29 00:00,0.2,15.1,0
Yuzhno-Sakhalinsk,2024-01-29 04:00,-0.2,12.2,0
Yuzhno-Sakhalinsk,2024-01-29 08:00,0.1,9.7,10
Yuzhno-Sakhalinsk,2024-01-29 12:00,9.3,3.6,2
Yuzhno-Sakhalinsk,2024-01-29 16:00,8.4,4.7,0
Yuzhno-Sakhalinsk,2024-01-29 20:00,0.9,5.4,0
Tbilisi,2024-01-27 00:00,4.3,9.7,13
Tbilisi,2024-01-27 04:00,4.9,7.2,100
Tbilisi,2024-01-27 08:00,4.8,11.9,45
Tbilisi,2024-01-27 12:00,12.7,15.5,0
Tbilisi,2024-01-27 16:00,11.0,14.4,0
Tbilisi,2024-01-27 20:00,1.9,15.1,0
Tbilisi,2024-01-28 00:00,1.0,14.0,2
Tbilisi,2024-01-28 04:00,0.7,13.0,11
Tbilisi,2024-01-28 08:00,0.7,11.9,4
Tbilisi,2024-01-28 12:00,9.5,8.3,7
Tbilisi,2024-01-28 16:00,9.6,6.1,0
Tbilisi,2024-01-28 20:00,1.1,14.0,0
Tbilisi,2024-01-29 00:00,0.2,15.1,0
Tbilisi,2024-01-29 04:00,-0.2,12.2,0
Tbilisi,2024-01-29 08:00,0.1,9.7,10
Tbilisi,2024-01-29 12:00,9.3,3.6,2
Tbilisi,2024-01-29 16:00,8.4,4.7,0
Tbilisi,2024-01-29 20:00,0.9,5.4,0
Erevan,2024-01-27 00:00,4.3,9.7,13
Erevan,2024-01-27 04:00,4.9,7.2,100
Erevan,2024-01-27 08:00,4.8,11.9,45
Erevan,2024-01-27 12:00,12.7,15.5,0
Erevan,2024-01-27 16:00,11.0,14.4,0
Erevan,2024-01-27 20:00,1.9,15.1,0
Erevan,2024-01-28 00:00,1.0,14.0,2
Erevan,2024-01-28 04:00,0.7,13.0,11
Erevan,2024-01-28 08:00,0.7,11.9,4
Erevan,2024-01-28 12:00,9.5,8.3,7
Erevan,2024-01-28 16:00,9.6,6.1,0
Erevan,2024-01-28 20:00,1.1,14.0,0
Erevan,2024-01-29 00:00,0.2,15.1,0
Erevan,2024-01-29 04:00,-0.2,12.2,0
Erevan,2024-01-29 08:00,0.1,9.7,10
Erevan,2024-01-29 12:00,9.3,3.6,2
Erevan,2024-01-29 16:00,8.4,4.7,0
Erevan,2024-01-29 20:00,0.9,5.4,0
